id,title,difficulty,topics,companies,acceptance_rate,estimated_time
438,Find All Anagrams in a String,Medium,['Hash Table'],"['Facebook', 'Amazon', 'Bloomberg', 'Microsoft', 'Snapchat', 'Apple']",45.2,20
102,Binary Tree Level Order Traversal,Medium,"['Tree', 'Breadth-first Search']","['Bloomberg', 'Amazon', 'Facebook', 'Microsoft', 'LinkedIn', 'Adobe', 'Paypal', 'Google', 'Uber']",57.0,20
994,Rotting Oranges,Medium,['Breadth-first Search'],"['Amazon', 'Google', 'Microsoft', 'Bloomberg', 'Oracle']",49.6,20
50,"Pow(x, n)",Medium,"['Math', 'Binary Search']","['Facebook', 'Microsoft', 'Amazon', 'LinkedIn', 'Bloomberg', 'Google', 'eBay', 'Goldman Sachs']",31.0,20
206,Reverse Linked List,Easy,['Linked List'],"['Adobe', 'Amazon', 'Facebook', 'Apple', 'Microsoft', 'Yandex', 'Google', 'Uber', 'Oracle', 'Bloomberg', 'Cisco', 'Goldman Sachs', 'ByteDance']",65.7,10
242,Valid Anagram,Easy,"['Hash Table', 'Sort']","['Bloomberg', 'Facebook', 'Microsoft', 'Amazon', 'Apple', 'Oracle', 'Google', 'Goldman Sachs', 'Adobe', 'Cisco', 'Paypal']",58.9,10
236,Lowest Common Ancestor of a Binary Tree,Medium,['Tree'],"['Facebook', 'Microsoft', 'Amazon', 'Oracle', 'LinkedIn', 'Apple', 'Bloomberg', 'Adobe', 'Google', 'Uber']",49.3,20
767,Reorganize String,Medium,"['String', 'Heap', 'Greedy', 'Sort']","['Amazon', 'Google', 'Facebook', 'Microsoft', 'Uber', 'Goldman Sachs']",50.3,20
207,Course Schedule,Medium,"['Depth-first Search', 'Breadth-first Search', 'Graph', 'Topological Sort']","['Amazon', 'Facebook', 'Microsoft', 'ByteDance', 'Bloomberg', 'Google']",44.3,20
721,Accounts Merge,Medium,"['Depth-first Search', 'Union Find']","['Facebook', 'Google', 'Amazon', 'Microsoft', 'Twitter', 'LinkedIn']",52.2,20
43,Multiply Strings,Medium,"['Math', 'String']","['Facebook', 'Microsoft', 'Amazon', 'Apple', 'Bloomberg', 'ByteDance']",35.1,20
651,4 Keys Keyboard,Medium,"['Math', 'Dynamic Programming', 'Greedy']","['Google', 'Microsoft']",53.2,20
322,Coin Change,Medium,['Dynamic Programming'],"['Amazon', 'Bloomberg', 'Goldman Sachs', 'Apple', 'Microsoft', 'Uber', 'Oracle', 'Facebook']",37.7,20
230,Kth Smallest Element in a BST,Medium,"['Binary Search', 'Tree']","['Amazon', 'Facebook', 'Adobe', 'Microsoft', 'Oracle']",62.9,20
1254,Number of Closed Islands,Medium,['Depth-first Search'],"['Google', 'Amazon', 'Oracle', 'Uber']",61.8,20
419,Battleships in a Board,Medium,[],"['Facebook', 'Microsoft', 'Google']",71.2,20
449,Serialize and Deserialize BST,Medium,['Tree'],"['Facebook', 'Amazon', 'Microsoft', 'ByteDance']",54.3,20
1286,Iterator for Combination,Medium,"['Backtracking', 'Design']","['Amazon', 'Google']",70.9,20
146,LRU Cache,Medium,['Design'],"['Amazon', 'Microsoft', 'Facebook', 'Apple', 'Bloomberg', 'Snapchat', 'eBay', 'ByteDance', 'Google', 'Oracle', 'Uber', 'Paypal', 'Adobe', 'Goldman Sachs']",36.2,20
22,Generate Parentheses,Medium,"['String', 'Backtracking']","['Microsoft', 'Facebook', 'Google', 'Bloomberg', 'Amazon', 'Apple', 'Adobe', 'ByteDance', 'Oracle']",65.7,20
348,Design Tic-Tac-Toe,Medium,['Design'],"['Amazon', 'Microsoft', 'Facebook', 'Apple', 'Oracle']",55.7,20
307,Range Sum Query - Mutable,Medium,"['Binary Indexed Tree', 'Segment Tree']",['Facebook'],36.9,20
3,Longest Substring Without Repeating Characters,Medium,"['Hash Table', 'Two Pointers', 'String', 'Sliding Window']","['Amazon', 'Bloomberg', 'Microsoft', 'Facebook', 'Apple', 'Adobe', 'eBay', 'Goldman Sachs', 'Google', 'VMware', 'Oracle', 'ByteDance', 'Uber']",31.5,20
1229,Meeting Scheduler,Medium,"['Two Pointers', 'Sort', 'Line Sweep']",['Amazon'],54.4,20
220,Contains Duplicate III,Medium,"['Sort', 'Ordered Map']",['Facebook'],21.4,20
319,Bulb Switcher,Medium,"['Math', 'Brainteaser']","['Microsoft', 'Apple']",45.4,20
