day,id,title,difficulty,topics,companies,estimated_time,acceptance_rate,cumulative_time
1,1480,Running Sum of 1d Array,Easy,['Array'],"['Apple', 'Amazon', 'Adobe', 'Bloomberg']",10,88.6,10
1,1512,Number of Good Pairs,Easy,"['Array', 'Hash Table', 'Math']","['Microsoft', 'Bloomberg', 'Amazon', 'Adobe', 'Apple']",10,87.7,20
1,1365,How Many Numbers Are Smaller Than the Current Number,Easy,"['Array', 'Hash Table']","['Amazon', 'Bloomberg']",10,86.0,30
1,1313,Decompress Run-Length Encoded List,Easy,['Array'],"['Amazon', 'Google', 'Apple']",10,85.4,40
1,1773,Count Items Matching a Rule,Easy,"['Array', 'String']",['Facebook'],10,85.2,50
1,1351,Count Negative Numbers in a Sorted Matrix,Easy,"['Array', 'Binary Search']","['Amazon', 'Microsoft', 'Apple']",10,75.8,60
1,1748,Sum of Unique Elements,Easy,"['Array', 'Hash Table']",['Facebook'],10,75.0,70
1,977,Squares of a Sorted Array,Easy,"['Array', 'Two Pointers']","['Facebook', 'Uber', 'Google', 'Amazon', 'Apple', 'Bloomberg', 'Yandex', 'Microsoft', 'ByteDance', 'Cisco']",10,71.8,80
1,1002,Find Common Characters,Easy,"['Array', 'Hash Table']","['Apple', 'Amazon']",10,68.7,90
1,1160,Find Words That Can Be Formed by Characters,Easy,"['Array', 'Hash Table']",['Amazon'],10,67.9,100
1,1133,Largest Unique Number,Easy,"['Array', 'Hash Table']",['Amazon'],10,67.9,110
1,509,Fibonacci Number,Easy,['Array'],"['Amazon', 'Google', 'Apple', 'Facebook']",10,67.5,120
2,1708,Largest Subarray Length K,Easy,"['Array', 'Greedy']",['Google'],10,62.9,10
2,169,Majority Element,Easy,"['Array', 'Divide and Conquer', 'Bit Manipulation']","['Amazon', 'Microsoft', 'Bloomberg', 'Apple', 'ByteDance']",10,60.2,20
2,122,Best Time to Buy and Sell Stock II,Easy,"['Array', 'Greedy']","['Amazon', 'Apple', 'Microsoft', 'Facebook', 'Uber']",10,58.8,30
2,283,Move Zeroes,Easy,"['Array', 'Two Pointers']","['Facebook', 'Bloomberg', 'Microsoft', 'Adobe', 'Apple', 'Amazon', 'Google', 'eBay', 'Uber', 'Paypal', 'Cisco', 'Yandex']",10,58.7,40
2,217,Contains Duplicate,Easy,"['Array', 'Hash Table']","['Apple', 'Microsoft', 'Adobe']",10,56.9,50
2,118,Pascal's Triangle,Easy,['Array'],"['Google', 'Adobe', 'Apple', 'Amazon', 'Goldman Sachs']",10,55.4,60
2,268,Missing Number,Easy,"['Array', 'Math', 'Bit Manipulation']","['Amazon', 'Facebook', 'Apple', 'Microsoft', 'Oracle', 'Goldman Sachs', 'Cisco']",10,55.2,70
2,1539,Kth Missing Positive Number,Easy,"['Array', 'Hash Table']","['Facebook', 'Amazon', 'Microsoft', 'Apple']",10,54.9,80
2,119,Pascal's Triangle II,Easy,['Array'],"['Microsoft', 'Google', 'Amazon']",10,52.5,90
2,121,Best Time to Buy and Sell Stock,Easy,"['Array', 'Dynamic Programming']","['Amazon', 'Microsoft', 'Facebook', 'Apple', 'Adobe', 'Google', 'Bloomberg', 'eBay', 'Uber', 'ByteDance', 'Goldman Sachs', 'Expedia', 'VMware', 'Qualtrics', 'Oracle']",10,51.8,100
2,53,Maximum Subarray,Easy,"['Array', 'Divide and Conquer', 'Dynamic Programming']","['Microsoft', 'Amazon', 'Apple', 'LinkedIn', 'ByteDance', 'Google', 'Adobe', 'Cisco', 'Facebook', 'Oracle', 'Bloomberg', 'Uber', 'Paypal']",10,47.9,110
2,26,Remove Duplicates from Sorted Array,Easy,"['Array', 'Two Pointers']","['Google', 'Facebook', 'Amazon', 'Microsoft']",10,46.8,120
3,1,Two Sum,Easy,"['Array', 'Hash Table']","['Amazon', 'Google', 'Apple', 'Adobe', 'Microsoft', 'Bloomberg', 'Facebook', 'Oracle', 'Uber', 'Expedia', 'Twitter', 'Cisco', 'Goldman Sachs', 'Yandex']",10,46.7,10
3,66,Plus One,Easy,['Array'],"['ByteDance', 'Facebook', 'Adobe', 'Amazon', 'Google']",10,42.2,20
3,88,Merge Sorted Array,Easy,"['Array', 'Two Pointers']","['Facebook', 'Microsoft', 'Amazon', 'Bloomberg', 'Oracle', 'Apple', 'LinkedIn', 'Goldman Sachs', 'Yandex']",10,40.9,30
3,219,Contains Duplicate II,Easy,"['Array', 'Hash Table']","['Facebook', 'Amazon']",10,38.8,40
3,605,Can Place Flowers,Easy,"['Array', 'Greedy']","['LinkedIn', 'Facebook']",10,31.7,50
3,442,Find All Duplicates in an Array,Medium,['Array'],"['Amazon', 'Facebook', 'Microsoft', 'Bloomberg']",20,69.1,70
3,78,Subsets,Medium,"['Array', 'Backtracking', 'Bit Manipulation']","['Facebook', 'Bloomberg', 'Amazon', 'Uber', 'Microsoft', 'Apple', 'ByteDance']",20,65.6,90
3,695,Max Area of Island,Medium,"['Array', 'Depth-first Search']","['Google', 'Amazon', 'Facebook', 'Microsoft', 'Oracle', 'Bloomberg', 'eBay']",20,65.1,110
