id,title,is_premium,difficulty,acceptance_rate,accepted,submissions,companies,related_topics,likes,dislikes,rating,asked_by_faang,topics_list,topic_count,companies_list,company_count,difficulty_score,estimated_time,problem_value,normalized_likes,normalized_topic_count,normalized_company_count,popularity_score
1,Two Sum,0,Easy,46.7,4.1M,8.7M,"Amazon,Google,Apple,Adobe,Microsoft,Bloomberg,Facebook,Oracle,Uber,Expedia,Twitter,Nagarro,SAP,Yahoo,Cisco,Qualcomm,tcs,Goldman Sachs,Yandex,ServiceNow","Array,Hash Table",20217,712,97,1,"['Array', 'Hash Table']",2,"['Amazon', 'Google', 'Apple', 'Adobe', 'Microsoft', 'Bloomberg', 'Facebook', 'Oracle', 'Uber', 'Expedia', 'Twitter', 'Cisco', 'Goldman Sachs', 'Yandex']",14,1,10,51.1819116135663,1.0,0.4,0.875,0.8800000000000001
2,Add Two Numbers,0,Medium,35.7,1.9M,5.2M,"Bloomberg,Microsoft,Amazon,Google,Facebook,Apple,Adobe,Paypal,Coupang,Oracle,Uber,VMware,Yahoo","Linked List,Math,Recursion",11350,2704,81,1,"['Linked List', 'Math', 'Recursion']",3,"['Bloomberg', 'Microsoft', 'Amazon', 'Google', 'Facebook', 'Apple', 'Adobe', 'Paypal', 'Oracle', 'Uber', 'VMware']",11,2,20,42.95991778006167,0.561408715437503,0.6,0.6875,0.7007043577187515
11,Container With Most Water,0,Medium,52.9,912.2K,1.7M,"Amazon,Google,Microsoft,Facebook,Goldman Sachs,Adobe,Apple","Array,Two Pointers",9031,696,93,1,"['Array', 'Two Pointers']",2,"['Amazon', 'Google', 'Microsoft', 'Facebook', 'Goldman Sachs', 'Adobe', 'Apple']",7,2,20,57.55395683453237,0.4467032695256467,0.4,0.4375,0.6033516347628234
13,Roman to Integer,0,Easy,57.0,947.4K,1.7M,"Amazon,Roblox,Microsoft,Adobe,Facebook,LinkedIn,Google,Apple,Uber,Qualtrics,Oracle,eBay","Math,String",419,40,91,1,"['Math', 'String']",2,"['Amazon', 'Microsoft', 'Adobe', 'Facebook', 'LinkedIn', 'Google', 'Apple', 'Uber', 'Qualtrics', 'Oracle', 'eBay']",11,1,10,61.7677286742035,0.02072513231438888,0.4,0.6875,0.39036256615719445
15,3Sum,0,Medium,28.3,1.3M,4.4M,"Amazon,Facebook,Microsoft,Bloomberg,Apple,Adobe,VMware,Google,Cisco,Tesla,Goldman Sachs,eBay","Array,Two Pointers",10032,1035,91,1,"['Array', 'Two Pointers']",2,"['Amazon', 'Facebook', 'Microsoft', 'Bloomberg', 'Apple', 'Adobe', 'VMware', 'Google', 'Cisco', 'Goldman Sachs', 'eBay']",11,2,20,32.27132579650565,0.4962160557946283,0.4,0.6875,0.6281080278973141
17,Letter Combinations of a Phone Number,0,Medium,49.5,795.7K,1.6M,"Amazon,Microsoft,Twilio,Facebook,Capital One,eBay,Google,Uber,Apple,Oracle,JPMorgan,Morgan Stanley,Tesla,Qualtrics,Samsung","String,Backtracking,Depth-first Search,Recursion",5684,509,92,1,"['String', 'Backtracking', 'Depth-first Search', 'Recursion']",4,"['Amazon', 'Microsoft', 'Facebook', 'eBay', 'Google', 'Uber', 'Apple', 'Oracle', 'Qualtrics']",9,2,20,60.22610483042138,0.28114952762526585,0.8,0.5625,0.600574763812633
20,Valid Parentheses,0,Easy,40.0,1.4M,3.4M,"Amazon,Bloomberg,Facebook,Apple,Microsoft,Expedia,Spotify,Google,LinkedIn,Goldman Sachs,Oracle,IBM,JPMorgan,Intuit,Paypal,Atlassian,eBay,Adobe,ServiceNow,Qualcomm","String,Stack",7188,294,96,1,"['String', 'Stack']",2,"['Amazon', 'Bloomberg', 'Facebook', 'Apple', 'Microsoft', 'Expedia', 'Google', 'LinkedIn', 'Goldman Sachs', 'Oracle', 'Paypal', 'eBay', 'Adobe']",13,1,10,44.295991778006155,0.3555423653361033,0.4,0.8125,0.5577711826680516
21,Merge Two Sorted Lists,0,Easy,56.4,1.4M,2.4M,"Amazon,Adobe,Bloomberg,Capital One,Facebook,Microsoft,Oracle,LinkedIn,Uber,VMware,IBM,ByteDance","Linked List,Recursion",6467,753,90,1,"['Linked List', 'Recursion']",2,"['Amazon', 'Adobe', 'Bloomberg', 'Facebook', 'Microsoft', 'Oracle', 'LinkedIn', 'Uber', 'VMware', 'ByteDance']",10,1,10,61.151079136690655,0.31987930949201165,0.4,0.625,0.5399396547460058
22,Generate Parentheses,0,Medium,65.7,714.5K,1.1M,"Microsoft,Facebook,Google,Bloomberg,Amazon,Apple,Adobe,Walmart Labs,ByteDance,Nvidia,Oracle","String,Backtracking",7496,322,96,1,"['String', 'Backtracking']",2,"['Microsoft', 'Facebook', 'Google', 'Bloomberg', 'Amazon', 'Apple', 'Adobe', 'ByteDance', 'Oracle']",9,2,20,70.70914696813978,0.3707770688034822,0.4,0.5625,0.5653885344017411
31,Next Permutation,0,Medium,33.9,497.7K,1.5M,"Facebook,Amazon,Google,Microsoft,Rubrik,Bloomberg,Apple,Morgan Stanley,Goldman Sachs,Atlassian,tcs",Array,5271,1811,74,1,['Array'],1,"['Facebook', 'Amazon', 'Google', 'Microsoft', 'Bloomberg', 'Apple', 'Goldman Sachs']",7,2,20,34.943473792394656,0.2607211752485532,0.2,0.4375,0.47036058762427657
33,Search in Rotated Sorted Array,0,Medium,36.1,960.2K,2.7M,"Amazon,Facebook,Microsoft,LinkedIn,Oracle,Apple,Bloomberg,Nvidia,Expedia,Google,Adobe,Zillow,ByteDance,eBay,Cisco,ServiceNow,C3 IoT","Array,Binary Search",7349,644,92,1,"['Array', 'Binary Search']",2,"['Amazon', 'Facebook', 'Microsoft', 'LinkedIn', 'Oracle', 'Apple', 'Bloomberg', 'Expedia', 'Google', 'Adobe', 'ByteDance', 'eBay', 'Cisco']",13,2,20,40.28776978417267,0.363505960330415,0.4,0.8125,0.5617529801652075
39,Combination Sum,0,Medium,59.7,711.7K,1.2M,"Facebook,Airbnb,Microsoft,Bloomberg,Amazon,Apple,Uber,Adobe,eBay,Citadel,ByteDance","Array,Backtracking",5708,150,97,1,"['Array', 'Backtracking']",2,"['Facebook', 'Microsoft', 'Bloomberg', 'Amazon', 'Apple', 'Uber', 'Adobe', 'eBay', 'ByteDance']",9,2,20,64.5426515930113,0.2823366473759707,0.4,0.5625,0.5211683236879854
46,Permutations,0,Medium,67.1,790.1K,1.2M,"Facebook,Amazon,ByteDance,LinkedIn,Apple,eBay,Microsoft,Paypal,Oracle",Backtracking,5749,131,98,1,['Backtracking'],1,"['Facebook', 'Amazon', 'ByteDance', 'LinkedIn', 'Apple', 'eBay', 'Microsoft', 'Paypal', 'Oracle']",9,2,20,69.06474820143885,0.2843646436167582,0.2,0.5625,0.48218232180837906
48,Rotate Image,0,Medium,60.5,553.5K,915.2K,"Amazon,Microsoft,Apple,Uber,Cisco,Facebook,Rubrik,Adobe,Nvidia,Google,Quora,eBay,PayTM",Array,4619,329,93,1,['Array'],1,"['Amazon', 'Microsoft', 'Apple', 'Uber', 'Cisco', 'Facebook', 'Adobe', 'Google', 'eBay']",9,2,20,62.28160328879754,0.22847108868773805,0.2,0.5625,0.45423554434386904
49,Group Anagrams,0,Medium,59.7,891.7K,1.5M,"Amazon,Microsoft,Goldman Sachs,Apple,Uber,eBay,VMware,Oracle,Yandex,Expedia,Affirm,Facebook,Google,Bloomberg,Twilio,Docusign,Cisco,Two Sigma,ByteDance,Intel","Hash Table,String",5182,228,96,1,"['Hash Table', 'String']",2,"['Amazon', 'Microsoft', 'Goldman Sachs', 'Apple', 'Uber', 'eBay', 'VMware', 'Oracle', 'Yandex', 'Expedia', 'Facebook', 'Google', 'Bloomberg', 'Cisco', 'ByteDance']",15,2,20,64.5426515930113,0.25631893950635604,0.4,0.9375,0.5081594697531779
53,Maximum Subarray,0,Easy,47.9,1.4M,2.9M,"Microsoft,Amazon,Apple,LinkedIn,ByteDance,Google,Adobe,Cisco,Facebook,Oracle,Splunk,Bloomberg,Uber,Paypal,JPMorgan","Array,Divide and Conquer,Dynamic Programming",11458,551,95,1,"['Array', 'Divide and Conquer', 'Dynamic Programming']",3,"['Microsoft', 'Amazon', 'Apple', 'LinkedIn', 'ByteDance', 'Google', 'Adobe', 'Cisco', 'Facebook', 'Oracle', 'Bloomberg', 'Uber', 'Paypal']",13,1,10,55.49845837615622,0.5667507543156749,0.6,0.8125,0.7033753771578374
54,Spiral Matrix,0,Medium,36.5,483.3K,1.3M,"Microsoft,Apple,Intuit,Facebook,Google,Amazon,ByteDance,Expedia,Paypal,eBay",Array,3671,656,85,1,['Array'],1,"['Microsoft', 'Apple', 'Facebook', 'Google', 'Amazon', 'ByteDance', 'Expedia', 'Paypal', 'eBay']",9,2,20,37.61562178828366,0.1815798585348964,0.2,0.5625,0.4307899292674482
56,Merge Intervals,0,Medium,41.4,856.7K,2.1M,"Facebook,JPMorgan,Amazon,Bloomberg,Apple,Google,Microsoft,Adobe,Uber,Twitter,eBay,Paypal,Cisco,Oracle,Yandex,Qualtrics,Palantir Technologies,Yahoo,Walmart Labs,VMware","Array,Sort",6955,374,95,1,"['Array', 'Sort']",2,"['Facebook', 'Amazon', 'Bloomberg', 'Apple', 'Google', 'Microsoft', 'Adobe', 'Uber', 'Twitter', 'eBay', 'Paypal', 'Cisco', 'Oracle', 'Yandex', 'Qualtrics', 'VMware']",16,2,20,45.73484069886947,0.344017411089677,0.4,1.0,0.5520087055448385
62,Unique Paths,0,Medium,56.3,621.6K,1.1M,"Microsoft,Amazon,Facebook,Google,Bloomberg,Qualtrics,VMware,Salesforce,ByteDance","Array,Dynamic Programming",4856,240,95,1,"['Array', 'Dynamic Programming']",2,"['Microsoft', 'Amazon', 'Facebook', 'Google', 'Bloomberg', 'Qualtrics', 'VMware', 'ByteDance']",8,2,20,61.04830421377184,0.24019389622594847,0.4,0.5,0.5000969481129742
78,Subsets,0,Medium,65.6,746.8K,1.1M,"Facebook,Bloomberg,Amazon,Uber,Microsoft,Apple,ByteDance","Array,Backtracking,Bit Manipulation",5513,111,98,1,"['Array', 'Backtracking', 'Bit Manipulation']",3,"['Facebook', 'Bloomberg', 'Amazon', 'Uber', 'Microsoft', 'Apple', 'ByteDance']",7,2,20,73.6896197327852,0.2726912994014938,0.6,0.4375,0.5563456497007468
91,Decode Ways,0,Medium,26.9,548.7K,2M,"JPMorgan,Facebook,Google,Cisco,Amazon,Lyft,Microsoft,Goldman Sachs,ByteDance,Apple,Uber,Adobe","String,Dynamic Programming",4177,3414,55,1,"['String', 'Dynamic Programming']",2,"['Facebook', 'Google', 'Cisco', 'Amazon', 'Microsoft', 'Goldman Sachs', 'ByteDance', 'Apple', 'Uber', 'Adobe']",10,2,20,30.832476875642342,0.20660829994559035,0.4,0.625,0.4833041499727952
101,Symmetric Tree,0,Easy,48.4,861.4K,1.8M,"Capital One,Amazon,Yandex,Apple,Uber,Google,Microsoft","Tree,Depth-first Search,Breadth-first Search",5900,157,97,1,"['Tree', 'Depth-first Search', 'Breadth-first Search']",3,"['Amazon', 'Yandex', 'Apple', 'Uber', 'Google', 'Microsoft']",6,1,10,56.01233299075025,0.2918336053816095,0.6,0.375,0.5659168026908048
102,Binary Tree Level Order Traversal,0,Medium,57.0,809.8K,1.4M,"Bloomberg,Amazon,Facebook,Microsoft,LinkedIn,Adobe,Paypal,Google,Uber,Yahoo","Tree,Breadth-first Search",4482,104,98,1,"['Tree', 'Breadth-first Search']",2,"['Bloomberg', 'Amazon', 'Facebook', 'Microsoft', 'LinkedIn', 'Adobe', 'Paypal', 'Google', 'Uber']",9,2,20,61.7677286742035,0.2216946134441312,0.4,0.5625,0.4908473067220656
103,Binary Tree Zigzag Level Order Traversal,0,Medium,50.4,496.1K,984K,"Amazon,Microsoft,Bloomberg,Apple,Facebook,Qualtrics,eBay,Adobe,ByteDance,Google,Goldman Sachs,ServiceNow,Oracle","Stack,Tree,Breadth-first Search",3290,126,96,1,"['Stack', 'Tree', 'Breadth-first Search']",3,"['Amazon', 'Microsoft', 'Bloomberg', 'Apple', 'Facebook', 'Qualtrics', 'eBay', 'Adobe', 'ByteDance', 'Google', 'Goldman Sachs', 'Oracle']",12,2,20,58.067831449126416,0.16273433249245683,0.6,0.75,0.5013671662462285
121,Best Time to Buy and Sell Stock,0,Easy,51.8,1.3M,2.4M,"Amazon,Microsoft,Facebook,Apple,Adobe,Google,tcs,Bloomberg,eBay,Uber,ByteDance,Goldman Sachs,Expedia,VMware,Yahoo,Qualtrics,Oracle,ServiceNow,Visa,Samsung","Array,Dynamic Programming",8132,356,96,1,"['Array', 'Dynamic Programming']",2,"['Amazon', 'Microsoft', 'Facebook', 'Apple', 'Adobe', 'Google', 'Bloomberg', 'eBay', 'Uber', 'ByteDance', 'Goldman Sachs', 'Expedia', 'VMware', 'Qualtrics', 'Oracle']",15,1,10,56.423432682425485,0.4022357421971608,0.4,0.9375,0.5811178710985805
