day,id,title,difficulty,topics,companies,estimated_time,acceptance_rate,cumulative_time
1,977,Squares of a Sorted Array,Easy,"['Array', 'Two Pointers']","['Facebook', 'Uber', 'Google', 'Amazon', 'Apple', 'Bloomberg', 'Yandex', 'Microsoft', 'ByteDance', 'Cisco']",10,71.8,10
1,122,Best Time to Buy and Sell Stock II,Easy,"['Array', 'Greedy']","['Amazon', 'Apple', 'Microsoft', 'Facebook', 'Uber']",10,58.8,20
1,283,Move Zeroes,Easy,"['Array', 'Two Pointers']","['Facebook', 'Bloomberg', 'Microsoft', 'Adobe', 'Apple', 'Amazon', 'Google', 'eBay', 'Uber', 'Paypal', 'Cisco', 'Yandex']",10,58.7,30
1,121,Best Time to Buy and Sell Stock,Easy,"['Array', 'Dynamic Programming']","['Amazon', 'Microsoft', 'Facebook', 'Apple', 'Adobe', 'Google', 'Bloomberg', 'eBay', 'Uber', 'ByteDance', 'Goldman Sachs', 'Expedia', 'VMware', 'Qualtrics', 'Oracle']",10,51.8,40
1,53,Maximum Subarray,Easy,"['Array', 'Divide and Conquer', 'Dynamic Programming']","['Microsoft', 'Amazon', 'Apple', 'LinkedIn', 'ByteDance', 'Google', 'Adobe', 'Cisco', 'Facebook', 'Oracle', 'Bloomberg', 'Uber', 'Paypal']",10,47.9,50
1,1,Two Sum,Easy,"['Array', 'Hash Table']","['Amazon', 'Google', 'Apple', 'Adobe', 'Microsoft', 'Bloomberg', 'Facebook', 'Oracle', 'Uber', 'Expedia', 'Twitter', 'Cisco', 'Goldman Sachs', 'Yandex']",10,46.7,60
1,78,Subsets,Medium,"['Array', 'Backtracking', 'Bit Manipulation']","['Facebook', 'Bloomberg', 'Amazon', 'Uber', 'Microsoft', 'Apple', 'ByteDance']",20,65.6,80
1,238,Product of Array Except Self,Medium,['Array'],"['Facebook', 'Amazon', 'Apple', 'Microsoft', 'Uber', 'Adobe', 'VMware', 'Oracle']",20,61.4,100
1,48,Rotate Image,Medium,['Array'],"['Amazon', 'Microsoft', 'Apple', 'Uber', 'Cisco', 'Facebook', 'Adobe', 'Google', 'eBay']",20,60.5,120
2,39,Combination Sum,Medium,"['Array', 'Backtracking']","['Facebook', 'Microsoft', 'Bloomberg', 'Amazon', 'Apple', 'Uber', 'Adobe', 'eBay', 'ByteDance']",20,59.7,20
2,287,Find the Duplicate Number,Medium,"['Array', 'Two Pointers', 'Binary Search']","['Microsoft', 'Amazon', 'Apple', 'Google', 'Bloomberg', 'Paypal', 'Goldman Sachs']",20,57.9,40
2,62,Unique Paths,Medium,"['Array', 'Dynamic Programming']","['Microsoft', 'Amazon', 'Facebook', 'Google', 'Bloomberg', 'Qualtrics', 'VMware', 'ByteDance']",20,56.3,60
2,11,Container With Most Water,Medium,"['Array', 'Two Pointers']","['Amazon', 'Google', 'Microsoft', 'Facebook', 'Goldman Sachs', 'Adobe', 'Apple']",20,52.9,80
2,56,Merge Intervals,Medium,"['Array', 'Sort']","['Facebook', 'Amazon', 'Bloomberg', 'Apple', 'Google', 'Microsoft', 'Adobe', 'Uber', 'Twitter', 'eBay', 'Paypal', 'Cisco', 'Oracle', 'Yandex', 'Qualtrics', 'VMware']",20,41.4,100
2,54,Spiral Matrix,Medium,['Array'],"['Microsoft', 'Apple', 'Facebook', 'Google', 'Amazon', 'ByteDance', 'Expedia', 'Paypal', 'eBay']",20,36.5,120
3,33,Search in Rotated Sorted Array,Medium,"['Array', 'Binary Search']","['Amazon', 'Facebook', 'Microsoft', 'LinkedIn', 'Oracle', 'Apple', 'Bloomberg', 'Expedia', 'Google', 'Adobe', 'ByteDance', 'eBay', 'Cisco']",20,36.1,20
3,31,Next Permutation,Medium,['Array'],"['Facebook', 'Amazon', 'Google', 'Microsoft', 'Bloomberg', 'Apple', 'Goldman Sachs']",20,33.9,40
3,15,3Sum,Medium,"['Array', 'Two Pointers']","['Amazon', 'Facebook', 'Microsoft', 'Bloomberg', 'Apple', 'Adobe', 'VMware', 'Google', 'Cisco', 'Goldman Sachs', 'eBay']",20,28.3,60
3,346,Moving Average from Data Stream,Easy,"['Design', 'Queue']","['Google', 'Apple', 'Amazon']",10,73.6,70
3,703,Kth Largest Element in a Stream,Easy,"['Heap', 'Design']","['Amazon', 'Microsoft', 'Facebook']",10,50.9,80
